CVEID	Method or Impact	Context	Artifact	Countermeasure	Phase	Category
CVE-2011-0657	Manipulation	Application	Executable File	Decoy File	Identification	File
CVE-2011-0657	Manipulation	Application	Executable File	File Analysis	Identification	File
CVE-2011-0657	Manipulation	Application	Executable File	File Removal	Eradication	File
CVE-2011-0657	Manipulation	Application	Executable File	File Integrity Monitoring	Identification	File
CVE-2011-0657	Manipulation	Application	Executable File	Restore File	Recovery	File
CVE-2011-0657	Manipulation	Application	Network Traffic	Client-server Payload Profiling	Identification	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	Network Traffic Community Deviation	Identification	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	Per Host Download-Upload Ratio Analysis	Identification	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	Protocol Metadata Anomaly Detection	Identification	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	Remote Terminal Session Detection	Identification	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	User Geolocation Logon Pattern Analysis	Identification	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	Network Traffic Filtering	Containment	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	Administrative Network Activity Analysis	Identification	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	Connection Attempt Analysis	Identification	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	Broadcast Domain Isolation	Containment	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	IPC Traffic Analysis	Identification	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	DNS Denylisting	Containment	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	DNS Traffic Analysis	Identification	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	DNS Allowlisting	Containment	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	Forward Resolution Domain Denylisting	Containment	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	Reverse Resolution IP Denylisting	Containment	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	File Carving	Identification	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	Inbound Traffic Filtering	Containment	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	Inbound Session Volume Analysis	Identification	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	Forward Resolution IP Denylisting	Containment	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	Reverse Resolution Domain Denylisting	Containment	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	Relay Pattern Analysis	Identification	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	RPC Traffic Analysis	Identification	Network
CVE-2011-0657	Manipulation	Application	Network Traffic	Outbound Traffic Filtering	Containment	Network
CVE-2017-0144	Manipulation	Host Operating System	File	File Encryption	Containment	File
CVE-2017-0144	Manipulation	Host Operating System	File	Local File Permissions	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	File	Decoy File	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	File	File Analysis	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	File	File Removal	Eradication	File
CVE-2017-0144	Manipulation	Host Operating System	File	File Integrity Monitoring	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	File	Restore File	Recovery	File
CVE-2017-0144	Manipulation	Host Operating System	File	User Session Init Config Analysis	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	File	Certificate Analysis	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	File	Container Image Analysis	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	File	Dynamic Analysis	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	File	Emulated File Analysis	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	File	Email Filtering	Containment	File
CVE-2017-0144	Manipulation	Host Operating System	File	Email Removal	Eradication	File
CVE-2017-0144	Manipulation	Host Operating System	File	Homoglyph Detection	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	File	Sender MTA Reputation Analysis	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	File	Sender Reputation Analysis	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	File	Restore Email	Recovery	File
CVE-2017-0144	Manipulation	Host Operating System	File	Executable Allowlisting	Containment	File
CVE-2017-0144	Manipulation	Host Operating System	File	Executable Denylisting	Containment	File
CVE-2017-0144	Manipulation	Host Operating System	File	System File Analysis	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	Executable File	Dynamic Analysis	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	Executable File	Emulated File Analysis	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	Executable File	Executable Allowlisting	Containment	File
CVE-2017-0144	Manipulation	Host Operating System	Executable File	Executable Denylisting	Containment	File
CVE-2017-0144	Manipulation	Host Operating System	Executable File	File Encryption	Containment	File
CVE-2017-0144	Manipulation	Host Operating System	Executable File	Local File Permissions	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	Executable File	Decoy File	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	Executable File	File Analysis	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	Executable File	File Removal	Eradication	File
CVE-2017-0144	Manipulation	Host Operating System	Executable File	File Integrity Monitoring	Identification	File
CVE-2017-0144	Manipulation	Host Operating System	Executable File	Restore File	Recovery	File
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	Client-server Payload Profiling	Identification	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	Network Traffic Community Deviation	Identification	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	Per Host Download-Upload Ratio Analysis	Identification	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	Protocol Metadata Anomaly Detection	Identification	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	Remote Terminal Session Detection	Identification	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	User Geolocation Logon Pattern Analysis	Identification	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	Network Traffic Filtering	Containment	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	Administrative Network Activity Analysis	Identification	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	Connection Attempt Analysis	Identification	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	Broadcast Domain Isolation	Containment	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	IPC Traffic Analysis	Identification	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	DNS Denylisting	Containment	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	DNS Traffic Analysis	Identification	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	DNS Allowlisting	Containment	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	Forward Resolution Domain Denylisting	Containment	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	Reverse Resolution IP Denylisting	Containment	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	File Carving	Identification	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	Inbound Traffic Filtering	Containment	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	Inbound Session Volume Analysis	Identification	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	Forward Resolution IP Denylisting	Containment	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	Reverse Resolution Domain Denylisting	Containment	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	Relay Pattern Analysis	Identification	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	RPC Traffic Analysis	Identification	Network
CVE-2017-0144	Manipulation	Host Operating System	Network Traffic	Outbound Traffic Filtering	Containment	Network
CVE-2017-0145	Manipulation	Host Operating System	File	File Encryption	Containment	File
CVE-2017-0145	Manipulation	Host Operating System	File	Local File Permissions	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	File	Decoy File	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	File	File Analysis	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	File	File Removal	Eradication	File
CVE-2017-0145	Manipulation	Host Operating System	File	File Integrity Monitoring	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	File	Restore File	Recovery	File
CVE-2017-0145	Manipulation	Host Operating System	File	User Session Init Config Analysis	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	File	Certificate Analysis	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	File	Container Image Analysis	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	File	Dynamic Analysis	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	File	Emulated File Analysis	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	File	Email Filtering	Containment	File
CVE-2017-0145	Manipulation	Host Operating System	File	Email Removal	Eradication	File
CVE-2017-0145	Manipulation	Host Operating System	File	Homoglyph Detection	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	File	Sender MTA Reputation Analysis	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	File	Sender Reputation Analysis	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	File	Restore Email	Recovery	File
CVE-2017-0145	Manipulation	Host Operating System	File	Executable Allowlisting	Containment	File
CVE-2017-0145	Manipulation	Host Operating System	File	Executable Denylisting	Containment	File
CVE-2017-0145	Manipulation	Host Operating System	File	System File Analysis	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	Executable File	Dynamic Analysis	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	Executable File	Emulated File Analysis	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	Executable File	Executable Allowlisting	Containment	File
CVE-2017-0145	Manipulation	Host Operating System	Executable File	Executable Denylisting	Containment	File
CVE-2017-0145	Manipulation	Host Operating System	Executable File	File Encryption	Containment	File
CVE-2017-0145	Manipulation	Host Operating System	Executable File	Local File Permissions	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	Executable File	Decoy File	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	Executable File	File Analysis	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	Executable File	File Removal	Eradication	File
CVE-2017-0145	Manipulation	Host Operating System	Executable File	File Integrity Monitoring	Identification	File
CVE-2017-0145	Manipulation	Host Operating System	Executable File	Restore File	Recovery	File
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	Client-server Payload Profiling	Identification	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	Network Traffic Community Deviation	Identification	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	Per Host Download-Upload Ratio Analysis	Identification	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	Protocol Metadata Anomaly Detection	Identification	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	Remote Terminal Session Detection	Identification	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	User Geolocation Logon Pattern Analysis	Identification	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	Network Traffic Filtering	Containment	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	Administrative Network Activity Analysis	Identification	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	Connection Attempt Analysis	Identification	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	Broadcast Domain Isolation	Containment	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	IPC Traffic Analysis	Identification	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	DNS Denylisting	Containment	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	DNS Traffic Analysis	Identification	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	DNS Allowlisting	Containment	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	Forward Resolution Domain Denylisting	Containment	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	Reverse Resolution IP Denylisting	Containment	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	File Carving	Identification	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	Inbound Traffic Filtering	Containment	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	Inbound Session Volume Analysis	Identification	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	Forward Resolution IP Denylisting	Containment	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	Reverse Resolution Domain Denylisting	Containment	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	Relay Pattern Analysis	Identification	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	RPC Traffic Analysis	Identification	Network
CVE-2017-0145	Manipulation	Host Operating System	Network Traffic	Outbound Traffic Filtering	Containment	Network
CVE-2017-8671	Manipulation	Host Operating System	File	File Encryption	Containment	File
CVE-2017-8671	Manipulation	Host Operating System	File	Local File Permissions	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	File	Decoy File	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	File	File Analysis	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	File	File Removal	Eradication	File
CVE-2017-8671	Manipulation	Host Operating System	File	File Integrity Monitoring	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	File	Restore File	Recovery	File
CVE-2017-8671	Manipulation	Host Operating System	File	User Session Init Config Analysis	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	File	Certificate Analysis	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	File	Container Image Analysis	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	File	Dynamic Analysis	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	File	Emulated File Analysis	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	File	Email Filtering	Containment	File
CVE-2017-8671	Manipulation	Host Operating System	File	Email Removal	Eradication	File
CVE-2017-8671	Manipulation	Host Operating System	File	Homoglyph Detection	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	File	Sender MTA Reputation Analysis	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	File	Sender Reputation Analysis	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	File	Restore Email	Recovery	File
CVE-2017-8671	Manipulation	Host Operating System	File	Executable Allowlisting	Containment	File
CVE-2017-8671	Manipulation	Host Operating System	File	Executable Denylisting	Containment	File
CVE-2017-8671	Manipulation	Host Operating System	File	System File Analysis	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	Executable File	Dynamic Analysis	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	Executable File	Emulated File Analysis	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	Executable File	Executable Allowlisting	Containment	File
CVE-2017-8671	Manipulation	Host Operating System	Executable File	Executable Denylisting	Containment	File
CVE-2017-8671	Manipulation	Host Operating System	Executable File	File Encryption	Containment	File
CVE-2017-8671	Manipulation	Host Operating System	Executable File	Local File Permissions	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	Executable File	Decoy File	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	Executable File	File Analysis	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	Executable File	File Removal	Eradication	File
CVE-2017-8671	Manipulation	Host Operating System	Executable File	File Integrity Monitoring	Identification	File
CVE-2017-8671	Manipulation	Host Operating System	Executable File	Restore File	Recovery	File
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	Client-server Payload Profiling	Identification	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	Network Traffic Community Deviation	Identification	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	Per Host Download-Upload Ratio Analysis	Identification	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	Protocol Metadata Anomaly Detection	Identification	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	Remote Terminal Session Detection	Identification	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	User Geolocation Logon Pattern Analysis	Identification	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	Network Traffic Filtering	Containment	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	Administrative Network Activity Analysis	Identification	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	Connection Attempt Analysis	Identification	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	Broadcast Domain Isolation	Containment	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	IPC Traffic Analysis	Identification	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	DNS Denylisting	Containment	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	DNS Traffic Analysis	Identification	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	DNS Allowlisting	Containment	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	Forward Resolution Domain Denylisting	Containment	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	Reverse Resolution IP Denylisting	Containment	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	File Carving	Identification	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	Inbound Traffic Filtering	Containment	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	Inbound Session Volume Analysis	Identification	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	Forward Resolution IP Denylisting	Containment	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	Reverse Resolution Domain Denylisting	Containment	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	Relay Pattern Analysis	Identification	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	RPC Traffic Analysis	Identification	Network
CVE-2017-8671	Manipulation	Host Operating System	Network Traffic	Outbound Traffic Filtering	Containment	Network
CVE-2002-0392	Code Execution	Application	Application	Asset Vulnerability Enumeration	Identification	General
CVE-2002-0392	Code Execution	Application	Application	Software Update	Containment	General
CVE-2002-0392	Code Execution	Application	Application	Restore Software	Recovery	General
CVE-2002-0392	Code Execution	Application	Application	Service Binary Verification	Identification	General
CVE-2017-0148	Manipulation	Host Operating System	File	File Encryption	Containment	File
CVE-2017-0148	Manipulation	Host Operating System	File	Local File Permissions	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	File	Decoy File	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	File	File Analysis	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	File	File Removal	Eradication	File
CVE-2017-0148	Manipulation	Host Operating System	File	File Integrity Monitoring	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	File	Restore File	Recovery	File
CVE-2017-0148	Manipulation	Host Operating System	File	User Session Init Config Analysis	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	File	Certificate Analysis	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	File	Container Image Analysis	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	File	Dynamic Analysis	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	File	Emulated File Analysis	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	File	Email Filtering	Containment	File
CVE-2017-0148	Manipulation	Host Operating System	File	Email Removal	Eradication	File
CVE-2017-0148	Manipulation	Host Operating System	File	Homoglyph Detection	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	File	Sender MTA Reputation Analysis	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	File	Sender Reputation Analysis	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	File	Restore Email	Recovery	File
CVE-2017-0148	Manipulation	Host Operating System	File	Executable Allowlisting	Containment	File
CVE-2017-0148	Manipulation	Host Operating System	File	Executable Denylisting	Containment	File
CVE-2017-0148	Manipulation	Host Operating System	File	System File Analysis	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	Executable File	Dynamic Analysis	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	Executable File	Emulated File Analysis	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	Executable File	Executable Allowlisting	Containment	File
CVE-2017-0148	Manipulation	Host Operating System	Executable File	Executable Denylisting	Containment	File
CVE-2017-0148	Manipulation	Host Operating System	Executable File	File Encryption	Containment	File
CVE-2017-0148	Manipulation	Host Operating System	Executable File	Local File Permissions	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	Executable File	Decoy File	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	Executable File	File Analysis	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	Executable File	File Removal	Eradication	File
CVE-2017-0148	Manipulation	Host Operating System	Executable File	File Integrity Monitoring	Identification	File
CVE-2017-0148	Manipulation	Host Operating System	Executable File	Restore File	Recovery	File
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	Client-server Payload Profiling	Identification	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	Network Traffic Community Deviation	Identification	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	Per Host Download-Upload Ratio Analysis	Identification	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	Protocol Metadata Anomaly Detection	Identification	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	Remote Terminal Session Detection	Identification	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	User Geolocation Logon Pattern Analysis	Identification	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	Network Traffic Filtering	Containment	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	Administrative Network Activity Analysis	Identification	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	Connection Attempt Analysis	Identification	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	Broadcast Domain Isolation	Containment	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	IPC Traffic Analysis	Identification	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	DNS Denylisting	Containment	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	DNS Traffic Analysis	Identification	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	DNS Allowlisting	Containment	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	Forward Resolution Domain Denylisting	Containment	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	Reverse Resolution IP Denylisting	Containment	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	File Carving	Identification	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	Inbound Traffic Filtering	Containment	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	Inbound Session Volume Analysis	Identification	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	Forward Resolution IP Denylisting	Containment	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	Reverse Resolution Domain Denylisting	Containment	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	Relay Pattern Analysis	Identification	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	RPC Traffic Analysis	Identification	Network
CVE-2017-0148	Manipulation	Host Operating System	Network Traffic	Outbound Traffic Filtering	Containment	Network
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Restore Configuration	Recovery	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Application Configuration Hardening	Containment	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	System Init Config Analysis	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	File Encryption	Containment	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Local File Permissions	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Decoy File	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	File Analysis	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	File Removal	Eradication	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	File Integrity Monitoring	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Restore File	Recovery	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	User Session Init Config Analysis	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Certificate Analysis	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Container Image Analysis	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Dynamic Analysis	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Emulated File Analysis	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Email Filtering	Containment	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Email Removal	Eradication	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Homoglyph Detection	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Sender MTA Reputation Analysis	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Sender Reputation Analysis	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Restore Email	Recovery	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Executable Allowlisting	Containment	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Executable Denylisting	Containment	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	System File Analysis	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	IO Port Restriction	Containment	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Input Device Analysis	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Decoy Network Resource	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Process Spawn Analysis	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Process Lineage Analysis	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Process Self-Modification Detection	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Hardware-based Process Isolation	Containment	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Mandatory Access Control	Containment	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Host Shutdown	Eradication	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Host Reboot	Eradication	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Process Suspension	Containment	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Process Termination	Eradication	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Domain Trust Policy	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Script Execution Analysis	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	System Daemon Monitoring	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Account Locking	Containment	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Biometric Authentication	Containment	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Multi-factor Authentication	Containment	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	One-time Password	Containment	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Strong Password Policy	Recovery	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	User Account Permissions	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Restore User Account Access	Recovery	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Unlock Account	Recovery	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Domain Account Monitoring	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Local Account Monitoring	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	System Call Analysis	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	System Call Filtering	Containment	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	File Creation Analysis	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Authentication Cache Invalidation	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Credential Revoking	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Credential Compromise Scope Analysis	Identification	General
CVE-2021-31986	Code Execution	nan	Digital Information Bearer	Credential Rotation	Identification	General
